SOURCE,TARGET,DATE,now
Gov Org,0x2d46561abe5ed1528bfda600cdc9a0fac386208c,2022-10-18,2023-01-22
0x2d46561abe5ed1528bfda600cdc9a0fac386208c,Burn,2022-10-18,2023-01-22
Gov Org,0x581bef12967f06f2ebfcabb7504fa61f0326cd9a,2022-10-18,2023-01-22
MetricsDAO,elisemarika,2022-10-19,2023-01-22
MetricsDAO,0x33221ad6cf9c12eaeaaf4fc80cc5be20ecab5977,2022-10-19,2023-01-22
MetricsDAO,0x4d857cb2d42fcac500ac915c18a35720e4efbe70,2022-10-19,2023-01-22
MetricsDAO,meglister,2022-10-19,2023-01-22
MetricsDAO,meglister,2022-10-19,2023-01-22
0x038c4b2992581d099bae2f3c1a44ab22c6a27eba,Burn,2022-10-19,2023-01-22
uh. cbxm.,0x038c4b2992581d099bae2f3c1a44ab22c6a27eba,2022-10-19,2023-01-22
MetricsDAO,0xce56393ca6806a3d4e613dfec05fa6588570f2ce,2022-10-19,2023-01-22
MetricsDAO,0x828ab3767d9441e2707d90ea490882dcf7bfb0a7,2022-10-19,2023-01-22
MetricsDAO,0xdef1,2022-10-19,2023-01-22
0x038c4b2992581d099bae2f3c1a44ab22c6a27eba,Burn,2022-10-19,2023-01-22
MetricsDAO,0xa17e0e2732dde986c5a328277d3e922471f83a11,2022-10-19,2023-01-22
MetricsDAO,ilemi,2022-10-19,2023-01-22
MetricsDAO,0x14a3e477a168b2db7617c849c291a169024c46ca,2022-10-19,2023-01-22
MetricsDAO,dorii,2022-10-19,2023-01-22
0x62bcc72fa3e816b1eb939331d964da046284a9cc,Burn,2022-10-19,2023-01-22
MetricsDAO,0x04ae8c108743167c7457073ba8c1571fd5d56325,2022-10-19,2023-01-22
MetricsDAO,0xbdd1197b72b3be2d0ccd72c11169850500a858bc,2022-10-19,2023-01-22
MetricsDAO,0xc33ef0a3281485cbd0d646a3da888f8ea8f1c780,2022-10-19,2023-01-22
MetricsDAO,0xad900d0a5c5c213c6efeadfff67019b81c2344e2,2022-10-19,2023-01-22
